date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:37%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/images/hs_back.jpg	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/images/hs_back.jpg	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:41	23510/23510	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Oct%202023%2014:47:39%20GMT	https://web.archive.org/web/20040603155724im_/http://spirithalloween.com/images/hs_back.jpg	C:/Meus%20Sites/hallow/web.archive.org/web/20040603155724im_/http_/spirithalloween.com/images/hs_back.jpg	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:42	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:40%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/images/sp_header.jpg	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/images/sp_header.jpg	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:43	24087/24087	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Oct%202023%2014:47:41%20GMT	https://web.archive.org/web/20020922235816im_/http://spirithalloween.com/images/sp_header.jpg	C:/Meus%20Sites/hallow/web.archive.org/web/20020922235816im_/http_/spirithalloween.com/images/sp_header.jpg	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:42%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/history.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/history.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:42%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/images/rhistory.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/images/rhistory.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:45	2113/2113	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:47:43%20GMT	https://web.archive.org/web/20020913175719im_/http://spirithalloween.com/images/rhistory.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20020913175719im_/http_/spirithalloween.com/images/rhistory.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:43%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/locations.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/locations.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:43%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/images/rlocations.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/images/rlocations.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:46	2302/2302	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:47:44%20GMT	https://web.archive.org/web/20020913180413im_/http://spirithalloween.com/images/rlocations.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20020913180413im_/http_/spirithalloween.com/images/rlocations.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:47	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:44%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/shopping.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/shopping.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:49	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:47%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/images/rshopping.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/images/rshopping.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:49	1802/1802	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:47:47%20GMT	https://web.archive.org/web/20020913182342im_/http://spirithalloween.com/images/rshopping.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20020913182342im_/http_/spirithalloween.com/images/rshopping.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:48%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/fun.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/fun.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:48%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/images/rfunstuff.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/images/rfunstuff.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:52	1938/1938	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:47:50%20GMT	https://web.archive.org/web/20020913174600im_/http://spirithalloween.com/images/rfunstuff.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20020913174600im_/http_/spirithalloween.com/images/rfunstuff.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:52	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:50%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/jobapp.php	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/jobapp.php	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:51%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/images/remployment.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/images/remployment.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:54	2921/2921	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:47:51%20GMT	https://web.archive.org/web/20020913173815im_/http://spirithalloween.com/images/remployment.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20020913173815im_/http_/spirithalloween.com/images/remployment.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:52%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/privacy.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/privacy.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:53%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/images/rprivacy.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/images/rprivacy.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:56	2152/2152	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:47:54%20GMT	https://web.archive.org/web/20021129185527im_/http://spirithalloween.com/images/rprivacy.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021129185527im_/http_/spirithalloween.com/images/rprivacy.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:54%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/halloween/costume1.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/halloween/costume1.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:55%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/halloween/image3.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/halloween/image3.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:57	821/821	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:47:55%20GMT	https://web.archive.org/web/20021015062625im_/http://spirithalloween.com/halloween/image3.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021015062625im_/http_/spirithalloween.com/halloween/image3.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:56%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/halloween/costume2.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/halloween/costume2.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:56%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/costumes/costume1.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/costumes/costume1.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:47:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:57%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/costumes/image3.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/costumes/image3.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:00	821/821	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:47:57%20GMT	https://web.archive.org/web/20021015043816im_/http://spirithalloween.com/costumes/image3.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021015043816im_/http_/spirithalloween.com/costumes/image3.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:58%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/costumes/costume2.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/costumes/costume2.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:58%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/decorations/costume1.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/decorations/costume1.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:47:59%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/decorations/image3.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/decorations/image3.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:02	821/821	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:48:00%20GMT	https://web.archive.org/web/20021015053119im_/http://spirithalloween.com/decorations/image3.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021015053119im_/http_/spirithalloween.com/decorations/image3.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:48:00%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/decorations/costume2.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/decorations/costume2.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:48:01%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/masks/costume1.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/masks/costume1.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:48:01%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/masks/image3.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/masks/image3.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:04	821/821	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:48:02%20GMT	https://web.archive.org/web/20021015131733im_/http://spirithalloween.com/masks/image3.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021015131733im_/http_/spirithalloween.com/masks/image3.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:05	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:48:02%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/masks/costume2.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/masks/costume2.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:05	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:48:03%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/wigs/costume1.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/wigs/costume1.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:48:03%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/wigs/image3.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/wigs/image3.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:06	821/821	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:48:04%20GMT	https://web.archive.org/web/20021015140900im_/http://spirithalloween.com/wigs/image3.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021015140900im_/http_/spirithalloween.com/wigs/image3.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:48:04%20GMT	https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/wigs/costume2.html	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436/http_/www.spirithalloween.com/wigs/costume2.html	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:48:05%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/images/sohhom_1.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/images/sohhom_1.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:08	5366/5366	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Oct%202023%2014:48:06%20GMT	https://web.archive.org/web/20021015121821im_/http://spirithalloween.com/images/sohhom_1.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021015121821im_/http_/spirithalloween.com/images/sohhom_1.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:48:07%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/images/str_frnt.jpg	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/images/str_frnt.jpg	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:10	47836/47836	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Oct%202023%2014:48:07%20GMT	https://web.archive.org/web/20020923042028im_/http://spirithalloween.com/images/str_frnt.jpg	C:/Meus%20Sites/hallow/web.archive.org/web/20020923042028im_/http_/spirithalloween.com/images/str_frnt.jpg	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2004%20Oct%202023%2014:48:08%20GMT	https://web.archive.org/web/20021010005436im_/http://www.spirithalloween.com/shared/ulcorner.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20021010005436im_/http_/www.spirithalloween.com/shared/ulcorner.3f.delayed	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
11:48:11	1245/1245	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Oct%202023%2014:48:09%20GMT	https://web.archive.org/web/20110723022612im_/http://www.spirithalloween.com/shared/ulcorner.gif	C:/Meus%20Sites/hallow/web.archive.org/web/20110723022612im_/http_/www.spirithalloween.com/shared/ulcorner.gif	(from https://web.archive.org/web/20021010005436/http://www.spirithalloween.com/index.html)
